EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi,results_path,n_correct_perm_s,n_correct_perm_x
vary_B2_annealed,49,6,2.0,30,VI_best_tau_by_ELBO,1.8962982892990112,,0.2626306414604187,5.665173331488493,1.426400792345782,-589.0726806640625,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_30.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,31,GPArealModel,2.245234251022339,,1.40384624186451,2.8307006041165317,0.2343669345900902,,,2.0163893450018815,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_31.pt,,
vary_B2_annealed,49,6,2.0,31,GPmodel,1.9930202960968018,,1.2586224083744109,2.1693492442321123,0.4151989133460698,,,1.7235901965498626,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_31.pt,,
vary_B2_annealed,49,6,2.0,31,VI_best_tau_by_ELBO,1.992222785949707,,0.26197350025177,3.8882832719723224,1.4605414190168335,-570.0012573242187,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_31.pt,4.0,6.0
vary_B2_annealed,49,6,2.0,32,GPArealModel,1.4897679090499878,,0.29251011436061986,8.506919315463055,0.2182275060792701,,,29.08247919583162,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_32.pt,,
vary_B2_annealed,49,6,2.0,32,GPmodel,1.850780725479126,,0.33436444940224497,8.49776891109968,0.37340040441815064,,,25.414690246799378,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_32.pt,,
vary_B2_annealed,49,6,2.0,32,VI_best_tau_by_ELBO,1.8090590238571167,,0.26198387145996094,6.621949746133856,1.4670455692403535,-610.1268188476563,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_32.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,33,GPArealModel,2.417694091796875,,0.1922890079816295,9.131609118752452,2.7762093509031134,,,47.48898137549728,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_33.pt,,
vary_B2_annealed,49,6,2.0,33,GPmodel,2.010262966156006,,0.37894576423130766,8.29481109347095,0.3637864032390323,,,21.889177492977108,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_33.pt,,
vary_B2_annealed,49,6,2.0,33,VI_best_tau_by_ELBO,1.9161438941955566,,0.26234444975852966,7.307231675917608,1.5802992051142197,-620.4686157226563,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_33.pt,6.0,6.0
